Train Epoch: 1	[0/50000 (0%)]	Loss: 0.656021	Accuracy: 7.812500	Time 1.085 (1.085)	Data 0.092 (0.092)
Train Epoch: 1	[0/50000 (0%)]	Loss: 0.357987	Accuracy: 6.250000	Time 0.484 (0.484)	Data 0.088 (0.088)
Train Epoch: 1	[160/50000 (0%)]	Loss: 0.360199	Accuracy: 6.250000	Time 0.372 (0.384)	Data 0.000 (0.008)
Train Epoch: 1	[320/50000 (1%)]	Loss: 0.358375	Accuracy: 6.250000	Time 0.371 (0.376)	Data 0.000 (0.004)
Train Epoch: 1	[480/50000 (1%)]	Loss: 0.363740	Accuracy: 12.500000	Time 0.364 (0.373)	Data 0.000 (0.003)
Train Epoch: 1	[640/50000 (1%)]	Loss: 0.375828	Accuracy: 12.500000	Time 0.367 (0.371)	Data 0.000 (0.002)
Train Epoch: 1	[800/50000 (2%)]	Loss: 0.359349	Accuracy: 6.250000	Time 0.376 (0.371)	Data 0.000 (0.002)
Train Epoch: 1	[960/50000 (2%)]	Loss: 0.358403	Accuracy: 0.000000	Time 0.373 (0.370)	Data 0.000 (0.002)
Train Epoch: 1	[1120/50000 (2%)]	Loss: 0.359762	Accuracy: 12.500000	Time 0.369 (0.370)	Data 0.000 (0.001)
Train Epoch: 1	[1280/50000 (3%)]	Loss: 0.359610	Accuracy: 6.250000	Time 0.367 (0.370)	Data 0.000 (0.001)
Train Epoch: 1	[1440/50000 (3%)]	Loss: 0.338622	Accuracy: 0.000000	Time 0.366 (0.370)	Data 0.000 (0.001)
Train Epoch: 1	[1600/50000 (3%)]	Loss: 0.343362	Accuracy: 0.000000	Time 0.368 (0.370)	Data 0.000 (0.001)
Train Epoch: 1	[1760/50000 (4%)]	Loss: 0.340104	Accuracy: 18.750000	Time 0.368 (0.369)	Data 0.000 (0.001)
Train Epoch: 1	[1920/50000 (4%)]	Loss: 0.326486	Accuracy: 6.250000	Time 0.368 (0.370)	Data 0.000 (0.001)
Train Epoch: 1	[2080/50000 (4%)]	Loss: 0.350368	Accuracy: 12.500000	Time 0.370 (0.370)	Data 0.000 (0.001)
Train Epoch: 1	[2240/50000 (4%)]	Loss: 0.311483	Accuracy: 18.750000	Time 0.367 (0.369)	Data 0.000 (0.001)
Train Epoch: 1	[2400/50000 (5%)]	Loss: 0.364624	Accuracy: 12.500000	Time 0.366 (0.369)	Data 0.000 (0.001)
Train Epoch: 1	[2560/50000 (5%)]	Loss: 0.327207	Accuracy: 12.500000	Time 0.364 (0.369)	Data 0.000 (0.001)
Train Epoch: 1	[2720/50000 (5%)]	Loss: 0.344117	Accuracy: 18.750000	Time 0.366 (0.369)	Data 0.000 (0.001)
Train Epoch: 1	[2880/50000 (6%)]	Loss: 0.382201	Accuracy: 31.250000	Time 0.366 (0.369)	Data 0.000 (0.001)
Train Epoch: 1	[3040/50000 (6%)]	Loss: 0.392807	Accuracy: 25.000000	Time 0.371 (0.369)	Data 0.000 (0.001)
Train Epoch: 1	[3200/50000 (6%)]	Loss: 0.345491	Accuracy: 25.000000	Time 0.366 (0.369)	Data 0.000 (0.001)
Train Epoch: 1	[3360/50000 (7%)]	Loss: 0.357580	Accuracy: 6.250000	Time 0.364 (0.369)	Data 0.000 (0.001)
Train Epoch: 1	[3520/50000 (7%)]	Loss: 0.338169	Accuracy: 18.750000	Time 0.363 (0.369)	Data 0.000 (0.001)
Train Epoch: 1	[3680/50000 (7%)]	Loss: 0.360669	Accuracy: 12.500000	Time 0.370 (0.369)	Data 0.000 (0.001)
Train Epoch: 1	[3840/50000 (8%)]	Loss: 0.350135	Accuracy: 12.500000	Time 0.370 (0.369)	Data 0.000 (0.001)
Train Epoch: 1	[4000/50000 (8%)]	Loss: 0.358375	Accuracy: 12.500000	Time 0.363 (0.369)	Data 0.000 (0.001)
Train Epoch: 1	[4160/50000 (8%)]	Loss: 0.342827	Accuracy: 18.750000	Time 0.364 (0.368)	Data 0.000 (0.001)
Train Epoch: 1	[4320/50000 (9%)]	Loss: 0.380097	Accuracy: 18.750000	Time 0.363 (0.368)	Data 0.000 (0.001)
Train Epoch: 1	[4480/50000 (9%)]	Loss: 0.345144	Accuracy: 6.250000	Time 0.368 (0.368)	Data 0.000 (0.001)
Train Epoch: 1	[4640/50000 (9%)]	Loss: 0.331239	Accuracy: 6.250000	Time 0.365 (0.368)	Data 0.000 (0.001)
Train Epoch: 1	[4800/50000 (10%)]	Loss: 0.311940	Accuracy: 31.250000	Time 0.363 (0.368)	Data 0.000 (0.001)
Train Epoch: 1	[4960/50000 (10%)]	Loss: 0.380221	Accuracy: 6.250000	Time 0.367 (0.368)	Data 0.000 (0.001)
Train Epoch: 1	[5120/50000 (10%)]	Loss: 0.358340	Accuracy: 12.500000	Time 0.363 (0.368)	Data 0.000 (0.001)
Train Epoch: 1	[5280/50000 (11%)]	Loss: 0.362704	Accuracy: 18.750000	Time 0.366 (0.368)	Data 0.000 (0.001)
Train Epoch: 1	[5440/50000 (11%)]	Loss: 0.367271	Accuracy: 18.750000	Time 0.367 (0.368)	Data 0.000 (0.000)
Train Epoch: 1	[5600/50000 (11%)]	Loss: 0.365155	Accuracy: 6.250000	Time 0.373 (0.368)	Data 0.000 (0.000)
Train Epoch: 1	[5760/50000 (12%)]	Loss: 0.312499	Accuracy: 6.250000	Time 0.366 (0.368)	Data 0.000 (0.000)
Train Epoch: 1	[5920/50000 (12%)]	Loss: 0.343897	Accuracy: 25.000000	Time 0.365 (0.368)	Data 0.000 (0.000)
Train Epoch: 1	[6080/50000 (12%)]	Loss: 0.359537	Accuracy: 12.500000	Time 0.367 (0.368)	Data 0.000 (0.000)
Train Epoch: 1	[6240/50000 (12%)]	Loss: 0.366364	Accuracy: 18.750000	Time 0.366 (0.368)	Data 0.000 (0.000)
Train Epoch: 1	[6400/50000 (13%)]	Loss: 0.366393	Accuracy: 25.000000	Time 0.364 (0.368)	Data 0.000 (0.000)
Train Epoch: 1	[6560/50000 (13%)]	Loss: 0.363094	Accuracy: 12.500000	Time 0.364 (0.368)	Data 0.000 (0.000)
Train Epoch: 1	[6720/50000 (13%)]	Loss: 0.341482	Accuracy: 0.000000	Time 0.368 (0.368)	Data 0.000 (0.000)
Train Epoch: 1	[6880/50000 (14%)]	Loss: 0.357370	Accuracy: 18.750000	Time 0.360 (0.367)	Data 0.000 (0.000)
Train Epoch: 1	[7040/50000 (14%)]	Loss: 0.363441	Accuracy: 0.000000	Time 0.365 (0.367)	Data 0.000 (0.000)
Train Epoch: 1	[7200/50000 (14%)]	Loss: 0.354343	Accuracy: 12.500000	Time 0.367 (0.367)	Data 0.000 (0.000)
Train Epoch: 1	[7360/50000 (15%)]	Loss: 0.364219	Accuracy: 18.750000	Time 0.369 (0.367)	Data 0.000 (0.000)
Train Epoch: 1	[7520/50000 (15%)]	Loss: 0.351714	Accuracy: 18.750000	Time 0.368 (0.367)	Data 0.000 (0.000)
Train Epoch: 1	[7680/50000 (15%)]	Loss: 0.323935	Accuracy: 18.750000	Time 0.361 (0.367)	Data 0.000 (0.000)
Train Epoch: 1	[7840/50000 (16%)]	Loss: 0.369538	Accuracy: 18.750000	Time 0.367 (0.367)	Data 0.000 (0.000)
Train Epoch: 1	[8000/50000 (16%)]	Loss: 0.337752	Accuracy: 6.250000	Time 0.365 (0.367)	Data 0.000 (0.000)
Train Epoch: 1	[8160/50000 (16%)]	Loss: 0.379940	Accuracy: 6.250000	Time 0.362 (0.367)	Data 0.000 (0.000)
Train Epoch: 1	[8320/50000 (17%)]	Loss: 0.334084	Accuracy: 12.500000	Time 0.364 (0.367)	Data 0.000 (0.000)
Train Epoch: 1	[8480/50000 (17%)]	Loss: 0.414415	Accuracy: 6.250000	Time 0.364 (0.367)	Data 0.000 (0.000)
Train Epoch: 1	[8640/50000 (17%)]	Loss: 0.347027	Accuracy: 31.250000	Time 0.368 (0.367)	Data 0.000 (0.000)
Train Epoch: 1	[8800/50000 (18%)]	Loss: 0.359376	Accuracy: 18.750000	Time 0.368 (0.367)	Data 0.000 (0.000)
Train Epoch: 1	[8960/50000 (18%)]	Loss: 0.358938	Accuracy: 25.000000	Time 0.364 (0.367)	Data 0.000 (0.000)
Train Epoch: 1	[9120/50000 (18%)]	Loss: 0.352004	Accuracy: 12.500000	Time 0.367 (0.367)	Data 0.000 (0.000)
Train Epoch: 1	[9280/50000 (19%)]	Loss: 0.323852	Accuracy: 12.500000	Time 0.363 (0.367)	Data 0.000 (0.000)
Train Epoch: 1	[9440/50000 (19%)]	Loss: 0.348000	Accuracy: 0.000000	Time 0.361 (0.367)	Data 0.000 (0.000)
Train Epoch: 1	[9600/50000 (19%)]	Loss: 0.315831	Accuracy: 18.750000	Time 0.365 (0.367)	Data 0.000 (0.000)
Train Epoch: 1	[9760/50000 (20%)]	Loss: 0.392860	Accuracy: 12.500000	Time 0.368 (0.367)	Data 0.000 (0.000)
Train Epoch: 1	[9920/50000 (20%)]	Loss: 0.356907	Accuracy: 12.500000	Time 0.363 (0.367)	Data 0.000 (0.000)
Train Epoch: 1	[10080/50000 (20%)]	Loss: 0.348013	Accuracy: 12.500000	Time 0.362 (0.367)	Data 0.000 (0.000)
Train Epoch: 1	[10240/50000 (20%)]	Loss: 0.359773	Accuracy: 25.000000	Time 0.360 (0.367)	Data 0.000 (0.000)
Train Epoch: 1	[10400/50000 (21%)]	Loss: 0.333641	Accuracy: 0.000000	Time 0.364 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[10560/50000 (21%)]	Loss: 0.320357	Accuracy: 0.000000	Time 0.364 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[10720/50000 (21%)]	Loss: 0.323584	Accuracy: 12.500000	Time 0.364 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[10880/50000 (22%)]	Loss: 0.350026	Accuracy: 25.000000	Time 0.367 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[11040/50000 (22%)]	Loss: 0.379022	Accuracy: 6.250000	Time 0.367 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[11200/50000 (22%)]	Loss: 0.335849	Accuracy: 12.500000	Time 0.364 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[11360/50000 (23%)]	Loss: 0.428607	Accuracy: 6.250000	Time 0.365 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[11520/50000 (23%)]	Loss: 0.453843	Accuracy: 18.750000	Time 0.363 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[11680/50000 (23%)]	Loss: 0.318449	Accuracy: 31.250000	Time 0.366 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[11840/50000 (24%)]	Loss: 0.321498	Accuracy: 25.000000	Time 0.364 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[12000/50000 (24%)]	Loss: 0.281403	Accuracy: 6.250000	Time 0.366 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[12160/50000 (24%)]	Loss: 0.329598	Accuracy: 12.500000	Time 0.362 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[12320/50000 (25%)]	Loss: 0.286719	Accuracy: 37.500000	Time 0.365 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[12480/50000 (25%)]	Loss: 0.310964	Accuracy: 31.250000	Time 0.366 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[12640/50000 (25%)]	Loss: 0.347082	Accuracy: 25.000000	Time 0.366 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[12800/50000 (26%)]	Loss: 0.357272	Accuracy: 6.250000	Time 0.365 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[12960/50000 (26%)]	Loss: 0.367068	Accuracy: 18.750000	Time 0.365 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[13120/50000 (26%)]	Loss: 0.333770	Accuracy: 12.500000	Time 0.365 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[13280/50000 (27%)]	Loss: 0.323777	Accuracy: 12.500000	Time 0.363 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[13440/50000 (27%)]	Loss: 0.329338	Accuracy: 12.500000	Time 0.388 (0.366)	Data 0.000 (0.000)
Train Epoch: 1	[13600/50000 (27%)]	Loss: 0.304864	Accuracy: 12.500000	Time 0.363 (0.366)	Data 0.000 (0.000)
